# ptl4
# underflow	  0.0000000    	  0.0000000    
# overflow	 0.21613087E-03	 0.16938302E-04
# sum	  1.4758987    	 0.13677410E-02
# xmin	xmax	cross	numerror
  0.0000000    	  15.000000    	 0.19999270    	 0.54784519E-03
  15.000000    	  30.000000    	 0.78467879    	 0.97449326E-03
  30.000000    	  45.000000    	 0.43154318    	 0.74572852E-03
  45.000000    	  60.000000    	 0.38411096E-01	 0.19678485E-03
  60.000000    	  75.000000    	 0.11870602E-01	 0.11403270E-03
  75.000000    	  90.000000    	 0.50443902E-02	 0.83003468E-04
  90.000000    	  105.00000    	 0.23337393E-02	 0.57414675E-04
  105.00000    	  120.00000    	 0.10646486E-02	 0.40426107E-04
  120.00000    	  135.00000    	 0.51630458E-03	 0.26732408E-04
  135.00000    	  150.00000    	 0.22709943E-03	 0.16835526E-04
