# ptl3
# underflow	  0.0000000    	  0.0000000    
# overflow	-0.42731655E-02	 0.35838515E-04
# sum	-0.15413173    	 0.15779366E-03
# xmin	xmax	cross	numerror
  0.0000000    	  15.000000    	-0.85787999E-03	 0.13115983E-04
  15.000000    	  30.000000    	-0.24563303E-01	 0.69647699E-04
  30.000000    	  45.000000    	-0.52117848E-01	 0.93183101E-04
  45.000000    	  60.000000    	-0.25976292E-01	 0.54965349E-04
  60.000000    	  75.000000    	-0.14456318E-01	 0.41934108E-04
  75.000000    	  90.000000    	-0.11096974E-01	 0.39055650E-04
  90.000000    	  105.00000    	-0.83211808E-02	 0.36143520E-04
  105.00000    	  120.00000    	-0.58143924E-02	 0.31825854E-04
  120.00000    	  135.00000    	-0.39880203E-02	 0.27227473E-04
  135.00000    	  150.00000    	-0.26663521E-02	 0.23301126E-04
