# ptl1
# underflow	  0.0000000    	  0.0000000    
# overflow	-0.37970047E-01	 0.73609819E-04
# sum	-0.15422509    	 0.15724803E-03
# xmin	xmax	cross	numerror
  0.0000000    	  15.000000    	  0.0000000    	  0.0000000    
  15.000000    	  30.000000    	-0.21604953E-03	 0.81821845E-05
  30.000000    	  45.000000    	-0.49613717E-02	 0.48409327E-04
  45.000000    	  60.000000    	-0.25180756E-01	 0.74620496E-04
  60.000000    	  75.000000    	-0.24783807E-01	 0.55566281E-04
  75.000000    	  90.000000    	-0.18292389E-01	 0.47940306E-04
  90.000000    	  105.00000    	-0.13693202E-01	 0.42549132E-04
  105.00000    	  120.00000    	-0.11088941E-01	 0.39120448E-04
  120.00000    	  135.00000    	-0.95823543E-02	 0.37022017E-04
  135.00000    	  150.00000    	-0.84561712E-02	 0.35107778E-04
