# ptl1
# underflow	  0.0000000    	  0.0000000    
# overflow	 0.72123402E-01	 0.43344749E-03
# sum	  1.5450702    	 0.13612074E-02
# xmin	xmax	cross	numerror
  0.0000000    	  15.000000    	  0.0000000    	  0.0000000    
  15.000000    	  30.000000    	 0.68138313E-02	 0.12859792E-03
  30.000000    	  45.000000    	 0.12712007    	 0.43863141E-03
  45.000000    	  60.000000    	 0.48324737    	 0.68761690E-03
  60.000000    	  75.000000    	 0.34411428    	 0.59877416E-03
  75.000000    	  90.000000    	 0.21945617    	 0.49936183E-03
  90.000000    	  105.00000    	 0.13240294    	 0.40023207E-03
  105.00000    	  120.00000    	 0.79688455E-01	 0.31954895E-03
  120.00000    	  135.00000    	 0.49177370E-01	 0.25934318E-03
  135.00000    	  150.00000    	 0.30926308E-01	 0.21402850E-03
