# ptl4
# underflow	  0.0000000    	  0.0000000    
# overflow	 0.36292712E-03	 0.38208571E-04
# sum	  1.5442664    	 0.12580819E-02
# xmin	xmax	cross	numerror
  0.0000000    	  15.000000    	 0.21127610    	 0.55036013E-03
  15.000000    	  30.000000    	 0.82499685    	 0.88168986E-03
  30.000000    	  45.000000    	 0.44820140    	 0.63547929E-03
  45.000000    	  60.000000    	 0.37888893E-01	 0.20993593E-03
  60.000000    	  75.000000    	 0.11255430E-01	 0.14091775E-03
  75.000000    	  90.000000    	 0.52643644E-02	 0.12185423E-03
  90.000000    	  105.00000    	 0.26319926E-02	 0.96748194E-04
  105.00000    	  120.00000    	 0.12965230E-02	 0.66999949E-04
  120.00000    	  135.00000    	 0.74490709E-03	 0.55484031E-04
  135.00000    	  150.00000    	 0.34699308E-03	 0.38677456E-04
