# ptl2
# underflow	  0.0000000    	  0.0000000    
# overflow	 0.35141517E-01	 0.34847699E-03
# sum	  1.5449399    	 0.13465621E-02
# xmin	xmax	cross	numerror
  0.0000000    	  15.000000    	  0.0000000    	  0.0000000    
  15.000000    	  30.000000    	 0.34436095E-01	 0.26269114E-03
  30.000000    	  45.000000    	 0.41528194    	 0.68436721E-03
  45.000000    	  60.000000    	 0.48831343    	 0.66372920E-03
  60.000000    	  75.000000    	 0.26502330    	 0.54045112E-03
  75.000000    	  90.000000    	 0.14167485    	 0.41894562E-03
  90.000000    	  105.00000    	 0.77181009E-01	 0.32356693E-03
  105.00000    	  120.00000    	 0.44305872E-01	 0.25512158E-03
  120.00000    	  135.00000    	 0.26889805E-01	 0.21297419E-03
  135.00000    	  150.00000    	 0.16692089E-01	 0.17648908E-03
